,Nationalité,janvier 2017,janvier 2017,février 2017,février 2017,mars 2017,mars 2017,avril 2017,avril 2017,mai 2017,mai 2017,juin 2017,juin 2017,juillet 2017,juillet 2017,août 2017,août 2017,septembre 2017,septembre 2017,octobre 2017,octobre 2017,Total,Total
,,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits
Grisons,Suisses,1,875,0.9,805,0.8,718,1,851,0.9,825,0.8,688,0.7,614,0.7,619,0.7,639,0,0,0.8,6634
Argovie,Etrangers,7.1,6311,7,6236,6.7,5996,6.4,5697,6.1,5449,5.9,5262,5.6,4980,5.7,5062,5.6,4972,0,0,5.6,49965
Argovie,Suisses,2.3,6311,2.3,6315,2.2,6102,2.2,5931,2.1,5857,2.1,5768,2.1,5739,2.1,5822,2.1,5712,0,0,1.9,53557
Thurgovie,Etrangers,5.4,2050,5.4,2042,5.1,1936,4.5,1731,4.2,1614,4,1516,4.1,1546,4,1540,3.9,1475,0,0,4.1,15450
Thurgovie,Suisses,1.7,1917,1.7,1894,1.6,1785,1.5,1691,1.5,1648,1.4,1574,1.4,1580,1.5,1684,1.4,1583,0,0,1.4,15356
Tessin,Etrangers,6.5,3305,6.4,3226,5.7,2891,5,2549,4.7,2365,4.5,2285,4.4,2206,4.5,2279,4.6,2303,0,0,4.6,23409
Tessin,Suisses,2.9,3452,2.9,3397,2.7,3215,2.6,3017,2.5,2909,2.4,2806,2.4,2776,2.5,2873,2.5,2899,0,0,2.3,27344
Vaud,Etrangers,7.7,10923,7.4,10430,7,9840,6.6,9358,6.3,8856,5.8,8147,5.8,8143,5.9,8355,5.9,8264,0,0,5.8,82316
Vaud,Suisses,3.8,9749,3.7,9557,3.6,9187,3.5,8995,3.4,8758,3.4,8606,3.5,8962,3.6,9143,3.5,8891,0,0,3.2,81848
Valais,Etrangers,12.2,5343,10.5,4563,8.3,3643,7.7,3354,6.3,2746,5.2,2280,5,2189,5.1,2246,4.9,2126,0,0,6.5,28490
Valais,Suisses,2.8,3716,2.7,3470,2.4,3128,2.3,3051,2.3,2941,2.1,2759,2.2,2816,2.2,2817,2.1,2690,0,0,2.1,27388
Neuchâtel,Etrangers,10.7,2840,10.5,2789,9.8,2591,9,2393,8.4,2222,7.6,2011,7.6,2016,7.5,2003,7.4,1970,0,0,7.9,20835
Neuchâtel,Suisses,4.9,3212,4.9,3225,4.7,3116,4.6,3021,4.4,2914,4.2,2761,4.3,2836,4.3,2861,4.2,2768,0,0,4.1,26714
Genève,Etrangers,6.5,6765,6.4,6629,6.2,6438,6,6186,5.9,6111,5.8,5970,5.7,5874,5.7,5879,5.7,5942,0,0,5.4,55794
Genève,Suisses,5,6541,4.8,6342,4.8,6274,4.7,6143,4.6,6093,4.6,6040,4.7,6170,4.8,6251,4.8,6292,0,0,4.3,56146
Jura,Etrangers,11.9,666,11.5,645,10.7,598,10,561,9.5,534,9.4,528,9.5,535,9.5,534,9,505,0,0,9.1,5106
Jura,Suisses,4.1,1264,4.1,1270,3.8,1184,3.7,1157,3.5,1081,3.4,1052,3.4,1068,3.8,1177,3.6,1114,0,0,3.3,10367
Total,,3.7,164466,3.6,159809,3.4,152280,3.3,146327,3.1,139778,3,133603,3,133926,3,135578,3,133169,0,0,2.9,1298936
